OID,AIMSFID,WARD,DISTRICT,NAME,SHAPE_STArea__,SHAPE_STLength__
-1,201727221001230.000000000000000,D3,D324.02,Olathe 3-24,3508986.641357421900000,8712.264766645123000
-1,201727221001231.000000000000000,D4,D401.01,Olathe 4-01,22997110.401550293000000,30125.280114003075000
-1,201727221001232.000000000000000,D4,D402.01,Olathe 4-02,4655953.914947509800000,19310.746411504428000
-1,201727221001233.000000000000000,D4,D402.02,Olathe 4-02,27404772.445495605000000,28943.322796020784000
-1,201727221001234.000000000000000,D4,D403.01,Olathe 4-03,16171089.332977295000000,19020.396949838814000
-1,201727221001235.000000000000000,D4,D404.01,Olathe 4-04,5843142.783721923800000,13380.693392157193000
-1,201727221001236.000000000000000,D4,D405.02,Olathe 4-05,27731438.643249512000000,36836.420573199124000
-1,201727221001237.000000000000000,D4,D406.01,Olathe 4-06,30405528.095672607000000,28280.906030846774000
-1,201727221001238.000000000000000,D4,D407.01,Olathe 4-07,11726491.527709961000000,14898.599606891572000
-1,201727221001239.000000000000000,D4,D408.01,Olathe 4-08,7021332.581817627000000,10600.623537026171000
-1,201727221001240.000000000000000,D4,D409.01,Olathe 4-09,14911628.434539795000000,16759.025025830852000
-1,201727221001241.000000000000000,D4,D410.01,Olathe 4-10,5949402.879364013700000,9939.186152928288700
-1,201727221001242.000000000000000,D4,D411.01,Olathe 4-11,5166167.254028320300000,9622.134095037678000
-1,201727221001243.000000000000000,D4,D412.01,Olathe 4-12,28005356.525146484000000,21277.595246694542000
-1,201727221001244.000000000000000,D4,D413.01,Olathe 4-13,7432182.581481933600000,10640.176919600795000
-1,201727221001245.000000000000000,D4,D414.01,Olathe 4-14,14187553.194885254000000,15987.634715945198000
-1,201727221001246.000000000000000,D4,D415.01,Olathe 4-15,12711700.713317871000000,16028.709093042822000
-1,201727221001247.000000000000000,D4,D416.01,Olathe 4-16,3128048.351684570300000,10124.600467293261000
-1,201727221001248.000000000000000,D4,D417.01,Olathe 4-17,10689715.178619385000000,24843.892301896612000
-1,201727221001249.000000000000000,D4,D418.01,Olathe 4-18,11704232.260528564000000,15052.001926306957000
-1,201727221001250.000000000000000,D4,D418.02,Olathe 4-18,742678.707763671880000,6064.359629572607400
-1,201727221001251.000000000000000,D4,D419.01,Olathe 4-19,9402750.257202148400000,12412.517121470286000
