name,namelsad,countyfp,vtdst,geosha
Great Bend City Ward 4 Precinct 3 Exclave D1,Great Bend City Ward 4 Precinct 3 Exclave D1,009,00022E,f913cb1b5e2f6f486c17397282c915b35c2b918f025da722bcd14aeef9b09261
Great Bend Township Part A,Great Bend Township Part A Voting District,009,00023A,e4a3d87f8b83c3d2643f82a29a0629f3a760cea79d8718fe954f2e11a99f1025
Great Bend Township Part B,Great Bend Township Part B Voting District,009,00023B,536707d81d9deba4ee9e498c6ae70fc633f5f1da4cb991e6fc1257561a7eeff4
Hoisington Ward 1,Hoisington Ward 1,009,000240,66c879ce8b5615da14d0652eb26362cf2faa519e64ae4d5b78cb70859cdd1f67
Hoisington Ward 2,Hoisington Ward 2,009,000250,ef26f1fb7dd5a3f374bbb62769f25295e68c170886b3d3a19fa53e30069a93f6
Hoisington Ward 3,Hoisington Ward 3,009,000260,75d9c57f7bf9c937ca2c2078fc17c21264dfb16e69f7a614166bd360089b6b33
Hoisington Ward 4,Hoisington Ward 4,009,00027A,66c879ce8b5615da14d0652eb26362cf2faa519e64ae4d5b78cb70859cdd1f67
Lakin Township,Lakin Township Voting District,009,000290,23bb91f53a52f0c3306d5386fa2fcb2ccd2c11d5f831ad811d86c12f3dabb539
Logan Township,Logan Township Voting District,009,000310,874350a964b9e20ecccea36f2d7247f8c605c620beb5303c64bfa74b50ce7d66
North Homestead Township,North Homestead Township Voting District,009,000320,ba44fba914d3aba74ab8cd6cdd6e76785c5a5d9f11685dacf29d548e5c1889f6
Union Township,Union Township Voting District,009,000360,bc0086182a60b97e7b67147aeab76a0d84652b6997b0fd2a09c54e3c87691fba
Great Bend City Ward 4 Precinct 3 Exclave B,Great Bend City Ward 4 Precinct 3 Exclave B,009,00022C,f8297061c31c7af4a206c5cb1df0f244f2f84ce140fee602047cd0bb5231ef0d
Great Bend City Ward 4 Precinct 3 Exclave D2,Great Bend City Ward 4 Precinct 3 Exclave D2,009,00022F,be24b7c6efe56797239ebf1a01cc1160cb32701ac2ceb4063aca2e20511d3987
South Bend Township,South Bend Township Voting District,009,000340,7537d167d05f2aefcd6592ae019c1d41147693b4a4bbb30efb6ca473426d904e
South Homestead Township,South Homestead Township Voting District,009,000350,fdf061e3c506542c15b6deec2fb5ddc617988a39546321175930b7489be02f36
Great Bend Township,Great Bend Township Voting District,009,00023C,536707d81d9deba4ee9e498c6ae70fc633f5f1da4cb991e6fc1257561a7eeff4
Hoisington Ward 4 Exclave,Hoisington Ward 4 Exclave,009,00027B,e077bd3087e6ac755db897be25bf8d7c27bdb1320800bc7452d489fcddac6651
Pawnee Rock Township,Pawnee Rock Township Voting District,009,000330,be3a2c2cdfa3fd44613173f79225f8044620642e01cf286f1a17ea26492a3e3c
Independent Township,Independent Township Voting District,009,000280,3f0c5ede6eb1bcb369fbb1d837c2164a965dcf86bec16e7a2d22c20680d429d2
Liberty Township,Liberty Township Voting District,009,000300,e9166c699428960080ad097e63798bf15165a34e4e9228690a59c1f4d8a2389a
Walnut Township Albert,Walnut Township Albert Voting District,009,000370,63a177217de96417aff0e0cc6afb604eac7efab15b96ba4325865d39d8c207de
Walnut Township Olmitz,Walnut Township Olmitz Voting District,009,000380,039fe254d5f9e468a3f0933e104b1732c82037c23ef2a46a56b7c4203423e9db
Wheatland Township,Wheatland Township Voting District,009,000390,565b6c49a93b398a5f29e70bc4f438f47207152d3d4cc06f1db052bdcf3dbb18
Hoisington Landfill,Hoisington Landfill Voting District,009,900010,fcec8cd7b6d33cb97c63bf7de9ca7eec6d3650189925f2032697567e5383a421
Drywood Township,Drywood Township Voting District,011,000010,225b111e049f41dd1d4531d781716263159303c8bf4850c0eb9951f57fc9e514
Fort Scott Ward 1,Fort Scott Ward 1,011,00002A,09d8dbc3e66248729abe698c676e04692cf225073914eacc50d48a3c82a9e854
Fort Scott Ward 1 Exclave Colonial,Fort Scott Ward 1 Exclave Colonial,011,00002B,17197345b5c8717380fbd21f493910416a6ceef968e558db4257c164a82043ee
