name,aimsfid
Overland Park 6-05,202027015212744
Olathe 3-17,202027015212745
Lenexa 4-11,202027015212746
Olathe Twp 0-02,202027015212747
Olathe 2-10,202027015212748
Olathe Twp 0-27,202027015212749
Lenexa 2-02,202027015212750
Shawnee 1-05,202027015212751
Roeland Park 2-01,202027015212752
Edgerton 0-05,202027015212753
Shawnee 3-07,202027015212754
Olathe 2-14,202027015212755
Prairie Village 5-02,202027015212756
Overland Park 1-23,202027015212757
Spring Hill Twp 0-01,202027015212758
Gardner Twp 0-14,202027015212759
Gardner 0-01,202027015212760
Overland Park 3-02,202027015212761
Olathe Twp 0-15,202027015212762
Gardner 0-03,202027015212763
Prairie Village 4-03,202027015212764
Olathe 3-03,202027015212765
Olathe 2-12,202027015212766
Shawnee 1-09,202027015212767
Olathe Twp 0-07,202027015212768
Overland Park 1-14,202027015212769
Shawnee 1-12,202027015212770
Olathe Twp 0-09,202027015212771
Roeland Park 4-03,202027015212772
Olathe 1-10,202027015212773
Overland Park 2-18,202027015212774
Overland Park 4-01,202027015212775
Prairie Village 1-02,202027015212776
Overland Park 1-18,202027015212777
Gardner 0-10,202027015212778
Spring Hill Twp 0-01,202027015212779
Overland Park 5-13,202027015212780
Olathe 1-23,202027015212781
Lenexa 4-03,202027015212782
Shawnee 4-04,202027015212783
Lenexa 1-04,202027015212784
Spring Hill Twp 0-03,202027015212785
Prairie Village 4-01,202027015212786
Oxford Twp 0-05,202027015212787
Olathe 1-08,202027015212788
Overland Park 3-21,202027015212789
Oxford Twp 0-01,202027015212790
Overland Park 3-22,202027015212791
Shawnee 4-06,202027015212792
Mission 3-02,202027015212793
Olathe 3-06,202027015212794
Lexington Twp 0-04,202027015212795
Olathe 3-15,202027015212796
Shawnee 3-03,202027015212797
Gardner 0-07,202027015212798
Olathe 2-13,202027015212799
Shawnee 2-01,202027015212800
Overland Park 6-14,202027015212801
Overland Park 5-07,202027015212802
Lenexa 2-02,202027015212803
Olathe 1-25,202027015212804
Overland Park 4-14,202027015212805
Edgerton 0-07,202027015212806
Shawnee 2-07,202027015212807
Shawnee 4-07,202027015212808
Olathe 3-09,202027015212809
Lenexa 4-07,202027015212810
Olathe 3-11,202027015212811
Overland Park 3-11,202027015212812
Overland Park 5-05,202027015212813
Olathe 2-19,202027015212814
Fairway 3-01,202027015212815
Olathe 2-07,202027015212816
Olathe 2-04,202027015212817
Olathe 1-20,202027015212818
Roeland Park 3-03,202027015212819
McCamish Twp 0-01,202027015212820
Olathe Twp 0-03,202027015212821
Olathe 3-13,202027015212822
Lenexa 2-01,202027015212823
Overland Park 3-13,202027015212824
Olathe 3-17,202027015212825
Olathe 3-05,202027015212826
Overland Park 6-12,202027015212827
Overland Park 3-10,202027015212828
Overland Park 6-03,202027015212829
Oxford Twp 0-10,202027015212830
Olathe 4-11,202027015212831
Overland Park 6-16,202027015212832
De Soto 0-08,202027015212833
Overland Park 5-14,202027015212834
Overland Park 4-13,202027015212835
Shawnee 4-08,202027015212836
Leawood 2-06,202027015212837
Lenexa 4-01,202027015212838
Gardner Twp 0-09,202027015212839
Merriam 2-03,202027015212840
Aubry Twp 0-04,202027015212841
Bonner Springs 4-01,202027015212842
Lenexa 1-05,202027015212843
Leawood 2-01,202027015212844
Olathe 2-06,202027015212845
Westwood Hills 0-01,202027015212846
Prairie Village 2-03,202027015212847
Olathe Twp 0-10,202027015212848
Prairie Village 3-01,202027015212849
Olathe 4-17,202027015212850
Olathe 3-24,202027015212851
Olathe 3-25,202027015212852
Olathe 4-19,202027015212853
Overland Park 6-13,202027015212854
Lake Quivira 0-01,202027015212855
Overland Park 6-19,202027015212856
Shawnee 2-07,202027015212857
Gardner 0-02,202027015212858
Aubry Twp 0-03,202027015212859
Overland Park 5-03,202027015212860
Olathe 4-07,202027015212861
Overland Park 1-03,202027015212862
Olathe 2-18,202027015212863
Fairway 3-02,202027015212864
Shawnee 1-02,202027015212865
Roeland Park 3-02,202027015212866
Lenexa 3-07,202027015212867
Overland Park 3-09,202027015212868
Overland Park 6-01,202027015212869
Overland Park 6-07,202027015212870
Overland Park 4-16,202027015212871
Olathe 1-26,202027015212872
Lenexa 3-06,202027015212873
Shawnee 1-10,202027015212874
Olathe Twp 0-25,202027015212875
Overland Park 2-17,202027015212876
Leawood 2-04,202027015212877
Roeland Park 4-02,202027015212878
Roeland Park 4-01,202027015212879
Merriam 1-01,202027015212880
Olathe Twp 0-03,202027015212881
Olathe 1-09,202027015212882
Olathe 4-16,202027015212883
Overland Park 3-04,202027015212884
Edgerton 0-01,202027015212885
Overland Park 3-05,202027015212886
Shawnee 1-04,202027015212887
Overland Park 6-09,202027015212888
Olathe 1-28,202027015212889
Shawnee 4-01,202027015212890
Olathe 4-03,202027015212891
Overland Park 1-10,202027015212892
Olathe 2-23,202027015212893
Olathe 2-15,202027015212894
Lenexa 2-08,202027015212895
Olathe 3-19,202027015212896
Olathe Twp 0-16,202027015212897
Aubry Twp 0-01,202027015212898
Lenexa 4-06,202027015212899
Lenexa 2-10,202027015212900
Overland Park 2-20,202027015212901
Overland Park 1-02,202027015212902
Prairie Village 1-03,202027015212903
Olathe 4-19,202027015212904
Overland Park 6-13,202027015212905
Leawood 4-07,202027015212906
Overland Park 6-08,202027015212907
Overland Park 1-07,202027015212908
Overland Park 6-15,202027015212909
Aubry Twp 0-02,202027015212910
Olathe 1-11,202027015212911
Gardner Twp 0-03,202027015212912
Aubry Twp 0-06,202027015212913
Mission 1-01,202027015212914
