precinct,geosha
AT13,48b25da26401588f1cb1e341cdef58c0c2f030ebaaf5bc3c37be35eaf500fd5b
AT14,d31b051eb62db9f7f8e329be2a7dd0c3b7189903ad17f00ffb510c0d293c2574
AT15,ca4f34198196a4c4142c976a8ce3fd2ec4d48f860552041e6b9a8a3ceeea5b86
AT16,5ca364e8e1ee645879d16cba25c60b3c931a85a8f021507513f716ca9f689760
AT17,1b8d978d3e21de8fd19f26898a0cbba02c31579b71c90a0c6c61084a6ead3999
AT18,a287026b47d544200d92fd4b80091bbefd31aaf502378c6b6a80c71d5e90eb43
AT19,e728289dcfa3a45c1ef514db0b468a94186b41f877b10201bcd05e34d3be12df
AT21,ae044f9d26768b05b06565da9c0971966a0e1aae49815d11a126a97fe2b57dbf
BA01,e2675320e1a53c4f75567e9c041fe3d60f3e5c00e382ad34a1b88de208f68819
BA02,3e8ecf471bcf18d44d27ba91987b120fa3efefe582665084792b09248c8b1f32
BA03,053812bb3c82c72eec011158a9e38f3992968df417f380b3be8ebc9d8585a990
DB11,d50a41e23c1adcf2c9c423787832e98b50691d5ce2405ec903fa88cc901db53c
DB12,e49bf0a7fe7f11fb1a9a3d78fec612c635fa0c6654f04ba5106fa7887608fc68
DB13,d5042a01e56cdad7ede6e277f0cad69fa45c531453fde827086c14a00239b052
DB14,4d3a9edffee43fc14fd18fe2670447906a49628df52c60cc9db070768bcda48a
DB15,f88a83a0cf7dd7b4414281267bbfc6853e38c43742f2121813312c59b90d688e
DB16,d5042a01e56cdad7ede6e277f0cad69fa45c531453fde827086c14a00239b052
DB17,4a14872187ab73926ebb4b54122424c72e2f689bceaa468d8ce524cd3f968ed8
DB18,14704051bc88b219406408e113b351eedf701d7cc32242353417b13e2e733434
DB21,a13c552f7f12778101085d067faa64b824c89060a99adf9477a3d0a9ff51bd3a
DB22,3c9486861bd52856a7e0b3bc70c22e940d7756d32b2640a7cb54a5c0bdcd0c23
DB23,e6f8ac3bf08f71da675435c5a6449b70c250ec40e5e1d978be43e082ea802605
DB24,7c3f1c6daa8905ae1417b9448f9ba328638c3432aa7bfecb875cd6aef944091f
DB25,8cd2005e3abb0e3d7e75e8232a99ce4def9843bd15fc9bf09378acd8e3fddd29
DB31,57709f513147b0f6ec78d187c83521dca398e33164f1e568ca2a1a94aa548844
DB32,290d9f924d05cf2296338695945558843e8dfd35537b20d977600ad988f769c5
DB33,8577f0cd7c4922c48a1827f4c30dae1e4bc579f32d499320ddc15de78b10a8e2
DB36,9800e3e43d87d411be878cc4a6c54a69937a3a8e3c465708341a7cf93ccef9e9
DB37,470279fa9fdab908188c2beb005863efd0abcde3ea5bcc1f03750fa7b97e83be
DB38,eb8010eab9f6a08983b69a30b9bf32923f4d67066be8cbeb9566f804c0d7f6f8
